TEST_RESULT,Sum
0-1 (9.4/㎕),63
0-1 (10.5/㎕),61
0-1 (8.2/㎕),60
2-5 (11.8/㎕),60
0-1 (10.0/㎕),59
0-1 (8.5/㎕),58
0-1 (9.3/㎕),56
0-1 (8.7/㎕),56
0-1 (8.3/㎕),54
0-1 (10.2/㎕),53
0-1 (9.1/㎕),50
0-1 (6.6/㎕),49
0-1 (9.6/㎕),49
0-1 (9.9/㎕),48
0-1 (8.6/㎕),48
0-1 (4.8/㎕),48
0-1 (5.3/㎕),46
2-5 (12.1/㎕),44
0-1 (9.0/㎕),43
2-5 (11.2/㎕),43
2-5 (13.3/㎕),43
0-1 (5.7/㎕),42
0-1 (7.5/㎕),42
2-5 (13.8/㎕),42
2-5 (11.3/㎕),42
2-5 (12.2/㎕),41
0-1 (10.8/㎕),40
0-1 (6.1/㎕),39
0-1 (10.3/㎕),39
2-5 (13.4/㎕),39
2-5 (16.6/㎕),39
0-1 (10.9/㎕),38
2-5 (11.1/㎕),38
2-5 (12.0/㎕),37
2-5 (13.5/㎕),37
0-1 (9.8/㎕),36
2-5 (11.4/㎕),36
0-1 (10.7/㎕),35
0-1 (10.4/㎕),35
2-5 (11.7/㎕),34
2-5 (15.7/㎕),34
2-5 (15.3/㎕),34
2-5 (13.9/㎕),34
0-1 (10.1/㎕),34
2-5 (11.6/㎕),34
2-5 (14.2/㎕),33
2-5 (12.9/㎕),33
0-1 (9.7/㎕),33
2-5 (12.4/㎕),32
2-5 (12.6/㎕),32
2-5 (15.1/㎕),32
2-5 (14.7/㎕),32
2-5 (13.1/㎕),31
0-1 (8.4/㎕),30
0-1 (9.2/㎕),30
2-5 (13.0/㎕),29
2-5 (18.2/㎕),29
2-5 (19.1/㎕),28
2-5 (15.8/㎕),28
2-5 (12.7/㎕),28
0-1 (8.8/㎕),28
0-1 (0.0/㎕),28
0-1 (7.0/㎕),28
2-5 (12.5/㎕),27
2-5 (14.9/㎕),27
2-5 (15.6/㎕),27
2-5 (16.5/㎕),27
2-5 (17.5/㎕),27
2-5 (16.9/㎕),27
2-5 (13.6/㎕),26
2-5 (14.6/㎕),26
2-5 (14.3/㎕),26
2-5 (14.4/㎕),25
2-5 (18.4/㎕),25
2-5 (18.6/㎕),24
2-5 (17.1/㎕),23
2-5 (14.5/㎕),23
0-1 (7.9/㎕),22
2-5 (17.0/㎕),22
2-5 (17.4/㎕),22
2-5 (11.5/㎕),22
0-1 (11.0/㎕),22
2-5 (16.0/㎕),22
2-5 (14.1/㎕),22
2-5 (19.2/㎕),21
2-5 (20.2/㎕),21
2-5 (18.7/㎕),21
2-5 (19.7/㎕),21
2-5 (16.1/㎕),21
2-5 (23.3/㎕),20
2-5 (12.3/㎕),20
2-5 (15.2/㎕),20
2-5 (18.3/㎕),20
2-5 (15.4/㎕),19
2-5 (16.2/㎕),19
2-5 (16.7/㎕),19
2-5 (19.9/㎕),19
2-5 (21.4/㎕),19
2-5 (21.9/㎕),19
2-5 (14.0/㎕),19
2-5 (19.8/㎕),18
2-5 (16.4/㎕),18
2-5 (11.9/㎕),18
2-5 (21.7/㎕),18
2-5 (20.0/㎕),18
2-5 (17.8/㎕),18
2-5 (21.5/㎕),18
2-5 (17.7/㎕),18
2-5 (16.3/㎕),17
2-5 (13.2/㎕),17
2-5 (17.9/㎕),17
2-5 (21.1/㎕),17
2-5 (23.6/㎕),17
2-5 (24.5/㎕),17
2-5 (20.9/㎕),16
2-5 (18.8/㎕),16
2-5 (24.2/㎕),16
2-5 (21.3/㎕),16
2-5 (14.8/㎕),16
2-5 (18.0/㎕),16
2-5 (23.2/㎕),15
5-10 (30.4/㎕),15
2-5 (27.0/㎕),15
5-10 (28.6/㎕),15
2-5 (26.7/㎕),15
2-5 (15.9/㎕),15
2-5 (24.1/㎕),15
5-10 (30.2/㎕),15
2-5 (20.6/㎕),15
2-5 (26.4/㎕),14
2-5 (25.6/㎕),14
2-5 (19.3/㎕),14
2-5 (19.0/㎕),14
2-5 (23.1/㎕),14
0-1 (10.6/㎕),14
5-10 (29.7/㎕),14
2-5 (15.5/㎕),14
2-5 (18.5/㎕),14
2-5 (22.7/㎕),14
2-5 (17.2/㎕),13
2-5 (24.0/㎕),13
2-5 (22.6/㎕),13
2-5 (21.8/㎕),13
2-5 (26.8/㎕),13
5-10 (28.1/㎕),13
2-5 (26.2/㎕),13
2-5 (25.0/㎕),13
2-5 (25.5/㎕),13
2-5 (20.3/㎕),13
5-10 (33.0/㎕),13
2-5 (22.3/㎕),12
5-10 (32.1/㎕),12
2-5 (12.8/㎕),12
5-10 (36.4/㎕),12
2-5 (22.8/㎕),12
2-5 (21.0/㎕),12
5-10 (41.7/㎕),12
2-5 (20.4/㎕),12
2-5 (26.6/㎕),12
5-10 (28.4/㎕),12
5-10 (31.2/㎕),12
5-10 (35.0/㎕),12
5-10 (32.0/㎕),12
2-5 (13.7/㎕),12
2-5 (25.3/㎕),12
2-5 (22.0/㎕),12
2-5 (20.5/㎕),12
2-5 (17.3/㎕),12
2-5 (15.0/㎕),11
10-25 (64.3/㎕),11
2-5 (22.4/㎕),11
5-10 (48.4/㎕),11
5-10 (48.7/㎕),11
2-5 (18.9/㎕),11
2-5 (22.2/㎕),11
2-5 (27.2/㎕),11
2-5 (27.5/㎕),11
5-10 (31.0/㎕),11
5-10 (35.1/㎕),11
2-5 (23.0/㎕),10
5-10 (38.8/㎕),10
2-5 (20.1/㎕),10
5-10 (39.5/㎕),10
5-10 (33.4/㎕),10
5-10 (32.4/㎕),10
2-5 (25.7/㎕),10
2-5 (27.1/㎕),10
2-5 (27.3/㎕),10
5-10 (31.9/㎕),10
2-5 (20.7/㎕),10
5-10 (40.5/㎕),10
2-5 (27.6/㎕),10
2-5 (26.3/㎕),10
5-10 (39.4/㎕),10
5-10 (27.9/㎕),10
2-5 (19.6/㎕),10
5-10 (34.4/㎕),10
5-10 (29.1/㎕),10
2-5 (22.5/㎕),10
2-5 (25.4/㎕),10
2-5 (25.9/㎕),10
5-10 (35.5/㎕),10
5-10 (32.6/㎕),10
2-5 (23.5/㎕),10
2-5 (24.9/㎕),10
5-10 (30.7/㎕),10
5-10 (52.4/㎕),9
2-5 (24.4/㎕),9
5-10 (37.4/㎕),9
2-5 (27.4/㎕),9
2-5 (22.9/㎕),9
5-10 (44.1/㎕),9
2-5 (26.9/㎕),9
5-10 (32.3/㎕),9
2-5 (23.9/㎕),9
5-10 (31.7/㎕),9
5-10 (28.0/㎕),9
2-5 (25.2/㎕),9
5-10 (30.8/㎕),9
5-10 (37.7/㎕),9
5-10 (42.2/㎕),9
2-5 (17.6/㎕),9
5-10 (33.7/㎕),9
5-10 (28.8/㎕),9
2-5 (16.8/㎕),9
2-5 (23.4/㎕),9
5-10 (43.0/㎕),9
5-10 (52.5/㎕),9
5-10 (29.3/㎕),9
5-10 (29.8/㎕),9
5-10 (29.9/㎕),9
5-10 (29.4/㎕),9
5-10 (38.2/㎕),8
5-10 (35.7/㎕),8
10-25 (67.3/㎕),8
5-10 (44.3/㎕),8
5-10 (30.6/㎕),8
5-10 (48.0/㎕),8
5-10 (44.0/㎕),8
5-10 (29.0/㎕),8
2-5 (18.1/㎕),8
5-10 (47.2/㎕),8
5-10 (39.0/㎕),8
2-5 (20.8/㎕),8
5-10 (49.2/㎕),8
2-5 (26.1/㎕),8
5-10 (53.8/㎕),8
5-10 (46.3/㎕),8
2-5 (26.0/㎕),8
5-10 (29.2/㎕),8
5-10 (34.2/㎕),8
2-5 (24.8/㎕),8
5-10 (40.1/㎕),8
5-10 (31.4/㎕),8
10-25 (67.6/㎕),8
5-10 (37.3/㎕),8
5-10 (45.6/㎕),8
5-10 (35.9/㎕),8
2-5 (24.6/㎕),8
5-10 (37.0/㎕),7
5-10 (30.0/㎕),7
5-10 (51.9/㎕),7
5-10 (51.1/㎕),7
2-5 (23.7/㎕),7
5-10 (34.3/㎕),7
5-10 (43.2/㎕),7
5-10 (41.5/㎕),7
10-25 (63.3/㎕),7
5-10 (43.8/㎕),7
10-25 (57.2/㎕),7
10-25 (59.4/㎕),7
5-10 (30.3/㎕),7
5-10 (39.9/㎕),7
10-25 (61.5/㎕),7
5-10 (34.8/㎕),7
5-10 (52.9/㎕),7
5-10 (37.8/㎕),7
5-10 (41.2/㎕),7
5-10 (41.4/㎕),7
2-5 (27.7/㎕),7
5-10 (55.3/㎕),7
5-10 (54.8/㎕),7
5-10 (32.8/㎕),7
10-25 (66.9/㎕),7
5-10 (55.4/㎕),7
2-5 (25.8/㎕),7
10-25 (59.9/㎕),7
5-10 (28.5/㎕),7
2-5 (25.1/㎕),7
5-10 (29.5/㎕),7
2-5 (19.4/㎕),7
5-10 (47.4/㎕),7
5-10 (38.1/㎕),7
5-10 (40.3/㎕),7
5-10 (50.2/㎕),7
10-25 (62.5/㎕),7
5-10 (55.1/㎕),7
5-10 (40.0/㎕),7
5-10 (38.6/㎕),7
5-10 (50.7/㎕),7
5-10 (31.6/㎕),7
10-25 (60.3/㎕),7
10-25 (79.4/㎕),7
10-25 (76.4/㎕),6
5-10 (52.2/㎕),6
5-10 (42.6/㎕),6
5-10 (44.8/㎕),6
5-10 (36.5/㎕),6
5-10 (35.2/㎕),6
5-10 (44.7/㎕),6
5-10 (49.8/㎕),6
10-25 (64.0/㎕),6
5-10 (30.9/㎕),6
10-25 (59.8/㎕),6
5-10 (35.6/㎕),6
10-25 (69.5/㎕),6
10-25 (68.4/㎕),6
5-10 (36.6/㎕),6
5-10 (40.9/㎕),6
5-10 (33.9/㎕),6
10-25 (57.5/㎕),6
5-10 (41.3/㎕),6
5-10 (45.3/㎕),6
5-10 (45.5/㎕),6
5-10 (50.1/㎕),6
2-5 (23.8/㎕),6
5-10 (36.1/㎕),6
5-10 (46.0/㎕),6
5-10 (47.1/㎕),6
10-25 (69.7/㎕),6
5-10 (49.4/㎕),6
10-25 (56.8/㎕),6
5-10 (37.9/㎕),6
10-25 (59.5/㎕),6
5-10 (28.9/㎕),6
10-25 (99.3/㎕),6
2-5 (21.2/㎕),6
5-10 (46.9/㎕),6
5-10 (53.6/㎕),6
10-25 (75.7/㎕),6
10-25 (76.8/㎕),6
10-25 (69.6/㎕),6
10-25 (56.7/㎕),6
10-25 (112.6/㎕),6
5-10 (45.9/㎕),6
5-10 (32.2/㎕),6
5-10 (33.3/㎕),6
10-25 (56.1/㎕),6
10-25 (87.8/㎕),6
10-25 (73.9/㎕),6
5-10 (28.2/㎕),6
5-10 (36.9/㎕),6
5-10 (40.8/㎕),6
5-10 (33.2/㎕),6
5-10 (27.8/㎕),6
5-10 (53.5/㎕),6
5-10 (36.8/㎕),6
5-10 (31.5/㎕),6
5-10 (32.9/㎕),6
5-10 (47.9/㎕),6
2-5 (21.6/㎕),6
5-10 (36.3/㎕),6
5-10 (39.2/㎕),6
2-5 (19.5/㎕),6
5-10 (28.7/㎕),6
10-25 (80.5/㎕),6
10-25 (88.7/㎕),6
10-25 (60.7/㎕),5
2-5 (26.5/㎕),5
10-25 (70.1/㎕),5
10-25 (55.8/㎕),5
5-10 (50.4/㎕),5
10-25 (88.4/㎕),5
10-25 (65.3/㎕),5
10-25 (71.9/㎕),5
5-10 (40.7/㎕),5
5-10 (49.6/㎕),5
5-10 (43.3/㎕),5
10-25 (60.0/㎕),5
5-10 (45.1/㎕),5
5-10 (34.1/㎕),5
25-50 (174.1/㎕),5
10-25 (111.7/㎕),5
5-10 (38.5/㎕),5
5-10 (50.5/㎕),5
5-10 (43.5/㎕),5
2-5 (24.3/㎕),5
5-10 (44.6/㎕),5
5-10 (39.1/㎕),5
10-25 (58.3/㎕),5
5-10 (43.6/㎕),5
10-25 (55.7/㎕),5
5-10 (54.7/㎕),5
5-10 (47.8/㎕),5
10-25 (76.1/㎕),5
5-10 (41.0/㎕),5
10-25 (75.9/㎕),5
5-10 (36.2/㎕),5
10-25 (60.8/㎕),5
5-10 (47.6/㎕),5
5-10 (49.3/㎕),5
5-10 (48.9/㎕),5
10-25 (62.1/㎕),5
10-25 (90.4/㎕),5
10-25 (85.0/㎕),5
10-25 (134.5/㎕),5
10-25 (82.0/㎕),5
10-25 (74.3/㎕),5
5-10 (42.7/㎕),5
10-25 (88.6/㎕),5
5-10 (48.8/㎕),5
25-50 (224.9/㎕),5
10-25 (67.1/㎕),5
5-10 (32.7/㎕),5
5-10 (42.3/㎕),5
10-25 (74.6/㎕),5
5-10 (38.0/㎕),5
5-10 (54.1/㎕),5
5-10 (44.5/㎕),5
10-25 (55.6/㎕),5
10-25 (56.9/㎕),5
10-25 (85.1/㎕),5
10-25 (74.0/㎕),5
10-25 (75.2/㎕),5
25-50 (149.2/㎕),5
10-25 (123.5/㎕),5
10-25 (67.9/㎕),5
5-10 (52.0/㎕),5
10-25 (57.3/㎕),5
10-25 (89.0/㎕),5
5-10 (50.0/㎕),5
10-25 (59.1/㎕),5
5-10 (50.3/㎕),5
5-10 (33.8/㎕),5
10-25 (128.8/㎕),5
10-25 (63.7/㎕),5
10-25 (62.8/㎕),5
5-10 (32.5/㎕),5
5-10 (33.6/㎕),5
5-10 (44.4/㎕),5
5-10 (43.9/㎕),5
10-25 (87.6/㎕),5
5-10 (34.6/㎕),5
5-10 (46.5/㎕),5
5-10 (54.3/㎕),4
5-10 (52.3/㎕),4
10-25 (99.8/㎕),4
10-25 (89.6/㎕),4
10-25 (73.1/㎕),4
10-25 (135.0/㎕),4
5-10 (39.8/㎕),4
10-25 (69.2/㎕),4
10-25 (77.1/㎕),4
10-25 (73.2/㎕),4
10-25 (75.0/㎕),4
10-25 (60.6/㎕),4
10-25 (66.4/㎕),4
5-10 (42.1/㎕),4
25-50 (190.8/㎕),4
5-10 (49.9/㎕),4
5-10 (30.1/㎕),4
5-10 (31.1/㎕),4
25-50 (210.9/㎕),4
10-25 (96.2/㎕),4
5-10 (54.9/㎕),4
25-50 (163.8/㎕),4
10-25 (83.7/㎕),4
5-10 (43.1/㎕),4
5-10 (42.9/㎕),4
5-10 (46.2/㎕),4
10-25 (70.2/㎕),4
5-10 (31.8/㎕),4
10-25 (84.1/㎕),4
5-10 (42.0/㎕),4
10-25 (138.2/㎕),4
10-25 (79.1/㎕),4
5-10 (41.6/㎕),4
10-25 (56.2/㎕),4
5-10 (52.8/㎕),4
10-25 (63.6/㎕),4
10-25 (71.6/㎕),4
100이상 (843.0/㎕),4
10-25 (80.1/㎕),4
10-25 (67.7/㎕),4
5-10 (46.7/㎕),4
10-25 (57.1/㎕),4
5-10 (38.7/㎕),4
10-25 (135.1/㎕),4
25-50 (144.5/㎕),4
10-25 (67.0/㎕),4
10-25 (133.4/㎕),4
10-25 (60.4/㎕),4
5-10 (33.5/㎕),4
5-10 (45.2/㎕),4
5-10 (53.9/㎕),4
5-10 (55.5/㎕),4
10-25 (81.2/㎕),4
10-25 (82.9/㎕),4
5-10 (51.4/㎕),4
10-25 (114.3/㎕),4
10-25 (87.2/㎕),4
5-10 (54.4/㎕),4
10-25 (72.7/㎕),4
5-10 (43.4/㎕),4
10-25 (97.4/㎕),4
5-10 (37.6/㎕),4
10-25 (80.8/㎕),4
10-25 (56.4/㎕),4
10-25 (97.1/㎕),4
5-10 (50.6/㎕),4
5-10 (55.0/㎕),4
2-5 (22.1/㎕),4
10-25 (121.0/㎕),4
10-25 (83.2/㎕),4
5-10 (45.0/㎕),4
10-25 (85.2/㎕),4
10-25 (65.9/㎕),4
5-10 (40.6/㎕),4
10-25 (81.7/㎕),4
5-10 (42.5/㎕),4
10-25 (72.2/㎕),4
10-25 (61.1/㎕),4
25-50 (184.9/㎕),4
5-10 (51.0/㎕),4
10-25 (88.3/㎕),4
5-10 (53.7/㎕),4
10-25 (78.8/㎕),4
5-10 (42.8/㎕),4
10-25 (79.9/㎕),4
10-25 (89.5/㎕),4
5-10 (39.7/㎕),4
10-25 (61.0/㎕),4
10-25 (122.7/㎕),4
5-10 (45.8/㎕),4
10-25 (92.1/㎕),4
25-50 (205.5/㎕),4
10-25 (56.3/㎕),4
10-25 (123.4/㎕),4
10-25 (71.7/㎕),4
10-25 (59.0/㎕),4
5-10 (51.8/㎕),4
5-10 (37.1/㎕),4
5-10 (48.3/㎕),4
10-25 (122.3/㎕),4
10-25 (131.7/㎕),4
10-25 (90.3/㎕),4
25-50 (165.4/㎕),4
10-25 (73.3/㎕),4
25-50 (190.3/㎕),4
10-25 (66.5/㎕),4
10-25 (59.2/㎕),4
10-25 (92.6/㎕),4
5-10 (49.1/㎕),4
10-25 (72.0/㎕),4
10-25 (88.9/㎕),3
25-50 (168.7/㎕),3
25-50 (257.9/㎕),3
25-50 (202.3/㎕),3
10-25 (93.1/㎕),3
10-25 (92.9/㎕),3
10-25 (106.3/㎕),3
5-10 (38.9/㎕),3
5-10 (47.3/㎕),3
2-5 (24.7/㎕),3
10-25 (116.3/㎕),3
10-25 (66.0/㎕),3
5-10 (55.2/㎕),3
25-50 (139.1/㎕),3
10-25 (97.5/㎕),3
10-25 (125.5/㎕),3
10-25 (74.4/㎕),3
10-25 (82.1/㎕),3
10-25 (128.1/㎕),3
10-25 (88.5/㎕),3
25-50 (230.6/㎕),3
5-10 (46.8/㎕),3
10-25 (129.3/㎕),3
10-25 (72.5/㎕),3
10-25 (129.2/㎕),3
10-25 (99.1/㎕),3
10-25 (101.1/㎕),3
25-50 (157.1/㎕),3
5-10 (36.0/㎕),3
10-25 (71.1/㎕),3
10-25 (93.6/㎕),3
10-25 (119.7/㎕),3
10-25 (66.6/㎕),3
10-25 (71.4/㎕),3
25-50 (231.4/㎕),3
5-10 (35.3/㎕),3
10-25 (55.9/㎕),3
10-25 (92.5/㎕),3
5-10 (35.4/㎕),3
5-10 (37.2/㎕),3
5-10 (34.5/㎕),3
10-25 (56.0/㎕),3
25-50 (139.5/㎕),3
25-50 (190.6/㎕),3
10-25 (120.9/㎕),3
25-50 (183.6/㎕),3
25-50 (176.4/㎕),3
5-10 (45.4/㎕),3
50-99 (301.1/㎕),3
25-50 (139.4/㎕),3
10-25 (57.8/㎕),3
10-25 (65.7/㎕),3
25-50 (152.3/㎕),3
10-25 (78.7/㎕),3
10-25 (114.2/㎕),3
50-99 (355.8/㎕),3
10-25 (137.3/㎕),3
5-10 (47.5/㎕),3
10-25 (106.7/㎕),3
25-50 (216.4/㎕),3
10-25 (84.2/㎕),3
25-50 (182.7/㎕),3
10-25 (84.9/㎕),3
5-10 (33.1/㎕),3
10-25 (80.2/㎕),3
25-50 (219.1/㎕),3
25-50 (191.9/㎕),3
10-25 (129.1/㎕),3
10-25 (75.8/㎕),3
10-25 (58.8/㎕),3
10-25 (87.5/㎕),3
5-10 (31.3/㎕),3
100이상 (615.6/㎕),3
25-50 (174.5/㎕),3
10-25 (57.7/㎕),3
25-50 (211.2/㎕),3
10-25 (97.6/㎕),3
10-25 (125.4/㎕),3
25-50 (254.6/㎕),3
5-10 (50.8/㎕),3
10-25 (89.3/㎕),3
10-25 (58.2/㎕),3
10-25 (99.7/㎕),3
10-25 (77.2/㎕),3
10-25 (127.3/㎕),3
10-25 (136.7/㎕),3
10-25 (56.5/㎕),3
10-25 (63.4/㎕),3
10-25 (138.4/㎕),3
10-25 (75.3/㎕),3
5-10 (54.0/㎕),3
25-50 (146.4/㎕),3
10-25 (75.4/㎕),3
10-25 (62.3/㎕),3
10-25 (88.0/㎕),3
25-50 (156.3/㎕),3
10-25 (69.9/㎕),3
5-10 (51.3/㎕),3
25-50 (223.9/㎕),3
10-25 (96.3/㎕),3
10-25 (82.4/㎕),3
50-99 (319.4/㎕),3
10-25 (95.8/㎕),3
10-25 (111.6/㎕),3
25-50 (229.2/㎕),3
10-25 (66.7/㎕),3
100이상 (1561.6/㎕),3
50-99 (354.8/㎕),3
10-25 (74.8/㎕),3
5-10 (49.0/㎕),3
50-99 (366.3/㎕),3
10-25 (76.5/㎕),3
10-25 (58.1/㎕),3
50-99 (309.2/㎕),3
25-50 (213.2/㎕),3
25-50 (154.9/㎕),3
5-10 (52.1/㎕),3
25-50 (163.4/㎕),3
25-50 (153.6/㎕),3
10-25 (63.1/㎕),3
5-10 (53.3/㎕),3
50-99 (322.6/㎕),3
10-25 (66.2/㎕),3
25-50 (148.8/㎕),3
5-10 (53.1/㎕),3
5-10 (52.7/㎕),3
5-10 (49.7/㎕),3
25-50 (155.5/㎕),3
25-50 (164.9/㎕),3
10-25 (82.5/㎕),3
10-25 (77.3/㎕),3
10-25 (76.9/㎕),3
25-50 (148.9/㎕),3
10-25 (123.0/㎕),3
5-10 (54.2/㎕),3
50-99 (450.9/㎕),3
10-25 (67.4/㎕),3
10-25 (68.0/㎕),3
10-25 (66.3/㎕),3
25-50 (164.6/㎕),3
50-99 (313.7/㎕),3
5-10 (37.5/㎕),3
10-25 (114.6/㎕),3
50-99 (500.7/㎕),3
10-25 (126.2/㎕),3
25-50 (210.2/㎕),3
10-25 (69.3/㎕),3
25-50 (241.1/㎕),3
25-50 (231.3/㎕),3
10-25 (128.4/㎕),3
50-99 (279.6/㎕),3
10-25 (84.3/㎕),3
25-50 (191.1/㎕),3
10-25 (136.3/㎕),3
10-25 (63.2/㎕),3
10-25 (83.5/㎕),3
10-25 (104.0/㎕),3
10-25 (66.1/㎕),3
50-99 (288.3/㎕),3
10-25 (112.9/㎕),3
10-25 (57.9/㎕),3
5-10 (34.0/㎕),3
10-25 (137.7/㎕),3
5-10 (51.2/㎕),3
10-25 (92.0/㎕),3
5-10 (40.4/㎕),3
25-50 (146.2/㎕),3
10-25 (117.4/㎕),3
10-25 (80.4/㎕),3
25-50 (277.7/㎕),3
50-99 (310.0/㎕),3
10-25 (64.8/㎕),3
5-10 (38.3/㎕),3
5-10 (44.2/㎕),3
10-25 (93.8/㎕),3
10-25 (74.5/㎕),3
25-50 (184.2/㎕),3
5-10 (42.4/㎕),3
10-25 (58.9/㎕),3
10-25 (90.5/㎕),3
50-99 (317.0/㎕),3
50-99 (446.4/㎕),3
5-10 (46.6/㎕),3
10-25 (79.8/㎕),3
25-50 (242.0/㎕),3
10-25 (64.9/㎕),3
50-99 (278.1/㎕),3
50-99 (471.2/㎕),3
25-50 (240.9/㎕),3
25-50 (182.9/㎕),3
10-25 (77.0/㎕),3
10-25 (95.0/㎕),3
10-25 (68.3/㎕),3
10-25 (66.8/㎕),3
10-25 (78.5/㎕),3
10-25 (85.9/㎕),3
10-25 (65.2/㎕),3
10-25 (86.0/㎕),3
10-25 (98.5/㎕),3
10-25 (121.6/㎕),3
5-10 (41.8/㎕),3
10-25 (84.8/㎕),3
10-25 (70.5/㎕),3
25-50 (161.5/㎕),2
10-25 (79.5/㎕),2
10-25 (97.0/㎕),2
25-50 (239.2/㎕),2
25-50 (220.5/㎕),2
10-25 (78.6/㎕),2
10-25 (98.4/㎕),2
5-10 (44.9/㎕),2
10-25 (98.3/㎕),2
50-99 (397.6/㎕),2
50-99 (300.1/㎕),2
100이상 (918.8/㎕),2
50-99 (438.6/㎕),2
100이상 (1316.1/㎕),2
25-50 (219.7/㎕),2
50-99 (555.0/㎕),2
5-10 (51.7/㎕),2
25-50 (162.2/㎕),2
25-50 (202.1/㎕),2
10-25 (115.2/㎕),2
50-99 (485.2/㎕),2
100이상 (559.1/㎕),2
50-99 (401.5/㎕),2
50-99 (430.5/㎕),2
10-25 (68.2/㎕),2
10-25 (95.3/㎕),2
25-50 (209.7/㎕),2
10-25 (67.8/㎕),2
10-25 (110.8/㎕),2
5-10 (36.7/㎕),2
50-99 (328.3/㎕),2
100이상 (873.0/㎕),2
10-25 (101.8/㎕),2
100이상 (718.8/㎕),2
100이상 (820.5/㎕),2
50-99 (305.3/㎕),2
100이상 (769.9/㎕),2
5-10 (46.4/㎕),2
25-50 (140.3/㎕),2
25-50 (212.5/㎕),2
10-25 (136.8/㎕),2
10-25 (57.0/㎕),2
10-25 (123.7/㎕),2
10-25 (88.2/㎕),2
10-25 (85.3/㎕),2
10-25 (81.1/㎕),2
50-99 (342.3/㎕),2
25-50 (144.9/㎕),2
25-50 (160.1/㎕),2
25-50 (188.7/㎕),2
50-99 (303.3/㎕),2
10-25 (109.8/㎕),2
50-99 (350.0/㎕),2
10-25 (86.4/㎕),2
10-25 (61.6/㎕),2
10-25 (74.9/㎕),2
100이상 (762.1/㎕),2
10-25 (60.5/㎕),2
25-50 (222.6/㎕),2
50-99 (382.0/㎕),2
10-25 (114.7/㎕),2
100이상 (1275.9/㎕),2
50-99 (474.3/㎕),2
10-25 (74.2/㎕),2
10-25 (69.4/㎕),2
10-25 (90.8/㎕),2
25-50 (182.4/㎕),2
10-25 (80.0/㎕),2
25-50 (271.3/㎕),2
25-50 (218.7/㎕),2
25-50 (179.3/㎕),2
10-25 (92.2/㎕),2
25-50 (154.4/㎕),2
25-50 (152.4/㎕),2
5-10 (45.7/㎕),2
5-10 (48.5/㎕),2
50-99 (389.2/㎕),2
100이상 (974.8/㎕),2
10-25 (61.7/㎕),2
25-50 (142.4/㎕),2
50-99 (335.3/㎕),2
10-25 (73.4/㎕),2
10-25 (104.2/㎕),2
25-50 (271.6/㎕),2
25-50 (197.9/㎕),2
25-50 (259.7/㎕),2
25-50 (160.7/㎕),2
25-50 (170.3/㎕),2
25-50 (228.3/㎕),2
25-50 (159.8/㎕),2
100이상 (1471.2/㎕),2
10-25 (62.7/㎕),2
25-50 (217.6/㎕),2
50-99 (483.5/㎕),2
25-50 (255.4/㎕),2
5-10 (47.7/㎕),2
50-99 (427.3/㎕),2
10-25 (86.9/㎕),2
10-25 (95.7/㎕),2
